год,неделя,Расход,МРМосква,МРСеверозапад,МРУрал,Общий итог,Месяц
2020.0,4,модули/блоки,202.0,136.0,33.0,730.0,1.0
2020.0,5,БС,9.0,21.0,38.0,317.0,1.0
2020.0,5,модули/блоки,137.0,516.0,114.0,1183.0,1.0
2020.0,6,БС,18.0,5.0,80.0,375.0,2.0
2020.0,6,модули/блоки,219.0,211.0,78.0,1003.0,2.0
2020.0,7,БС,34.0,12.0,57.0,329.0,2.0
2020.0,7,модули/блоки,267.0,810.0,74.0,1365.0,2.0
2020.0,8,БС,49.0,21.0,57.0,456.0,2.0
2020.0,8,модули/блоки,150.0,929.0,102.0,1839.0,2.0
2020.0,9,БС,28.0,6.0,34.0,244.0,2.0
2020.0,9,модули/блоки,113.0,844.0,27.0,1245.0,2.0
2020.0,10,БС,36.0,13.0,53.0,424.0,3.0
2020.0,10,модули/блоки,135.0,626.0,54.0,1139.0,3.0
2020.0,11,БС,25.0,3.0,39.0,258.0,3.0
2020.0,11,модули/блоки,84.0,661.0,56.0,1101.0,3.0
2020.0,12,БС,29.0,30.0,16.0,309.0,3.0
2020.0,12,модули/блоки,101.0,1078.0,6.0,1534.0,3.0
2020.0,13,БС,34.0,59.0,64.0,518.0,3.0
2020.0,13,модули/блоки,130.0,1738.0,115.0,2649.0,3.0
2020.0,14,БС,15.0,19.0,39.0,294.0,4.0
2020.0,14,модули/блоки,38.0,1345.0,28.0,1586.0,4.0
2020.0,15,БС,33.0,13.0,15.0,233.0,4.0
2020.0,15,модули/блоки,142.0,596.0,40.0,1038.0,4.0
2020.0,16,БС,14.0,13.0,56.0,380.0,4.0
2020.0,16,модули/блоки,102.0,806.0,73.0,1480.0,4.0
2020.0,17,БС,21.0,15.0,57.0,350.0,4.0
2020.0,17,модули/блоки,56.0,1365.0,51.0,1874.0,4.0
2020.0,18,БС,10.0,25.0,61.0,349.0,4.0
2020.0,18,модули/блоки,37.0,1143.0,52.0,1535.0,4.0
2020.0,19,БС,,14.0,46.0,124.0,5.0
2020.0,19,модули/блоки,36.0,999.0,56.0,1237.0,5.0
2020.0,20,БС,3.0,17.0,36.0,180.0,5.0
2020.0,20,модули/блоки,72.0,1174.0,88.0,1518.0,5.0
2020.0,21,БС,27.0,37.0,26.0,332.0,5.0
2020.0,21,модули/блоки,190.0,1350.0,33.0,1882.0,5.0
2020.0,22,БС,11.0,36.0,38.0,256.0,5.0
2020.0,22,модули/блоки,173.0,728.0,63.0,1253.0,5.0
2020.0,23,БС,7.0,49.0,11.0,157.0,6.0
2020.0,23,модули/блоки,183.0,1500.0,19.0,2093.0,6.0
2020.0,24,БС,30.0,16.0,49.0,206.0,6.0
2020.0,24,модули/блоки,152.0,926.0,73.0,1364.0,6.0
2020.0,25,БС,42.0,17.0,71.0,329.0,6.0
2020.0,25,модули/блоки,165.0,1709.0,86.0,2360.0,6.0
2020.0,26,БС,9.0,32.0,12.0,255.0,6.0
2020.0,26,модули/блоки,113.0,1320.0,29.0,1739.0,6.0
2020.0,27,БС,5.0,28.0,20.0,160.0,7.0
2020.0,27,модули/блоки,45.0,1070.0,52.0,1411.0,7.0
2020.0,28,БС,69.0,35.0,13.0,214.0,7.0
2020.0,28,модули/блоки,139.0,1555.0,41.0,1965.0,7.0
2020.0,29,БС,33.0,35.0,29.0,332.0,7.0
2020.0,29,модули/блоки,69.0,1357.0,58.0,2079.0,7.0
2020.0,30,БС,46.0,57.0,27.0,263.0,7.0
2020.0,30,модули/блоки,91.0,1127.0,73.0,1803.0,7.0
2020.0,31,БС,27.0,71.0,17.0,312.0,7.0
2020.0,31,модули/блоки,120.0,1386.0,32.0,1817.0,7.0
2020.0,32,БС,33.0,91.0,40.0,347.0,8.0
2020.0,32,модули/блоки,106.0,834.0,50.0,1302.0,8.0
2020.0,33,БС,33.0,71.0,16.0,365.0,8.0
2020.0,33,модули/блоки,94.0,1106.0,59.0,1704.0,8.0
2020.0,34,БС,22.0,33.0,10.0,200.0,8.0
2020.0,34,модули/блоки,45.0,1505.0,18.0,1843.0,8.0
2020.0,35,БС,17.0,46.0,9.0,250.0,8.0
2020.0,35,модули/блоки,51.0,891.0,43.0,1258.0,8.0
2020.0,36,БС,20.0,55.0,29.0,270.0,9.0
2020.0,36,модули/блоки,53.0,1131.0,72.0,1581.0,9.0
2020.0,37,БС,15.0,33.0,15.0,168.0,9.0
2020.0,37,модули/блоки,85.0,747.0,39.0,1062.0,9.0
2020.0,38,БС,21.0,24.0,47.0,222.0,9.0
2020.0,38,модули/блоки,90.0,825.0,94.0,1351.0,9.0
2020.0,39,БС,15.0,49.0,16.0,236.0,9.0
2020.0,39,модули/блоки,58.0,1010.0,36.0,1329.0,9.0
2020.0,40,БС,18.0,40.0,60.0,362.0,10.0
2020.0,40,модули/блоки,92.0,1062.0,65.0,1649.0,10.0
2020.0,41,БС,22.0,48.0,3.0,88.0,10.0
2020.0,41,модули/блоки,72.0,1050.0,20.0,1183.0,10.0
2020.0,42,БС,17.0,18.0,8.0,141.0,10.0
2020.0,42,модули/блоки,64.0,932.0,35.0,1113.0,10.0
2020.0,43,БС,25.0,31.0,18.0,224.0,10.0
2020.0,43,модули/блоки,62.0,791.0,18.0,1137.0,10.0
2020.0,44,БС,18.0,13.0,25.0,271.0,10.0
2020.0,44,модули/блоки,64.0,1146.0,33.0,1586.0,10.0
2020.0,45,БС,28.0,27.0,46.0,244.0,11.0
2020.0,45,модули/блоки,59.0,671.0,38.0,1108.0,11.0
2020.0,46,БС,11.0,26.0,19.0,291.0,11.0
2020.0,46,модули/блоки,75.0,355.0,25.0,876.0,11.0
2020.0,47,БС,8.0,49.0,38.0,282.0,11.0
2020.0,47,модули/блоки,61.0,705.0,35.0,1206.0,11.0
2020.0,48,БС,1.0,21.0,27.0,241.0,11.0
2020.0,48,модули/блоки,54.0,415.0,48.0,986.0,11.0
2020.0,49,БС,14.0,56.0,36.0,282.0,12.0
2020.0,49,модули/блоки,98.0,267.0,43.0,969.0,12.0
2020.0,50,БС,35.0,83.0,49.0,490.0,12.0
2020.0,50,модули/блоки,242.0,329.0,54.0,1407.0,12.0
2020.0,51,БС,35.0,60.0,27.0,337.0,12.0
2020.0,51,модули/блоки,394.0,539.0,35.0,1603.0,12.0
2020.0,52,БС,58.0,85.0,27.0,488.0,12.0
2020.0,52,модули/блоки,146.0,418.0,108.0,1379.0,12.0
2020.0,53,БС,82.0,101.0,86.0,713.0,12.0
2020.0,53,модули/блоки,657.0,190.0,108.0,2335.0,12.0
2021.0,2,БС,,,3.0,36.0,1.0
2021.0,2,модули/блоки,,,28.0,79.0,1.0
2021.0,3,БС,,,25.0,148.0,1.0
2021.0,3,модули/блоки,,,56.0,240.0,1.0
2021.0,4,БС,4.0,,24.0,242.0,1.0
2021.0,4,модули/блоки,11.0,,132.0,442.0,1.0
2021.0,5,БС,39.0,54.0,12.0,285.0,1.0
2021.0,5,модули/блоки,110.0,80.0,48.0,744.0,1.0
2021.0,6,БС,28.0,92.0,18.0,400.0,2.0
2021.0,6,модули/блоки,32.0,207.0,57.0,728.0,2.0
2021.0,7,БС,44.0,95.0,40.0,435.0,2.0
2021.0,7,модули/блоки,78.0,80.0,83.0,732.0,2.0
2021.0,8,БС,37.0,37.0,32.0,305.0,2.0
2021.0,8,модули/блоки,43.0,48.0,64.0,359.0,2.0
2021.0,9,БС,26.0,76.0,55.0,469.0,2.0
2021.0,9,модули/блоки,48.0,158.0,57.0,594.0,2.0
2021.0,10,БС,35.0,49.0,14.0,374.0,3.0
2021.0,10,модули/блоки,66.0,83.0,29.0,528.0,3.0
2021.0,11,БС,51.0,72.0,40.0,531.0,3.0
2021.0,11,модули/блоки,62.0,131.0,72.0,817.0,3.0
2021.0,12,БС,38.0,74.0,24.0,464.0,3.0
2021.0,12,модули/блоки,65.0,224.0,57.0,1095.0,3.0
2021.0,13,БС,52.0,43.0,8.0,383.0,3.0
2021.0,13,модули/блоки,99.0,122.0,47.0,931.0,3.0
2021.0,14,БС,37.0,71.0,12.0,459.0,4.0
2021.0,14,модули/блоки,154.0,173.0,119.0,1025.0,4.0
2021.0,15,БС,42.0,63.0,32.0,608.0,4.0
2021.0,15,модули/блоки,211.0,85.0,181.0,1356.0,4.0
2021.0,16,БС,43.0,67.0,12.0,428.0,4.0
2021.0,16,модули/блоки,125.0,193.0,79.0,995.0,4.0
2021.0,17,БС,53.0,43.0,9.0,376.0,4.0
2021.0,17,модули/блоки,129.0,149.0,75.0,703.0,4.0
2021.0,18,БС,28.0,32.0,5.0,353.0,5.0
2021.0,18,модули/блоки,6.0,161.0,35.0,596.0,5.0
2021.0,19,БС,37.0,49.0,3.0,343.0,5.0
2021.0,19,модули/блоки,45.0,113.0,16.0,653.0,5.0
2021.0,20,БС,27.0,52.0,20.0,311.0,5.0
2021.0,20,модули/блоки,65.0,71.0,86.0,560.0,5.0
2021.0,21,БС,55.0,37.0,5.0,409.0,5.0
2021.0,21,модули/блоки,150.0,131.0,65.0,1017.0,5.0
2021.0,22,БС,41.0,44.0,16.0,406.0,5.0
2021.0,22,модули/блоки,99.0,133.0,60.0,1019.0,5.0
2021.0,23,БС,108.0,54.0,43.0,655.0,6.0
2021.0,23,модули/блоки,169.0,132.0,85.0,993.0,6.0
2021.0,24,БС,43.0,56.0,16.0,485.0,6.0
2021.0,24,модули/блоки,110.0,87.0,31.0,748.0,6.0
2021.0,25,БС,48.0,52.0,55.0,553.0,6.0
2021.0,25,модули/блоки,92.0,33.0,30.0,747.0,6.0
2021.0,26,БС,37.0,37.0,35.0,391.0,6.0
2021.0,26,модули/блоки,125.0,34.0,59.0,912.0,6.0
2021.0,27,БС,58.0,30.0,12.0,438.0,7.0
2021.0,27,модули/блоки,95.0,11.0,22.0,683.0,7.0
2021.0,28,БС,31.0,27.0,12.0,411.0,7.0
2021.0,28,модули/блоки,118.0,20.0,69.0,608.0,7.0
2021.0,29,БС,69.0,46.0,28.0,394.0,7.0
2021.0,29,модули/блоки,202.0,28.0,69.0,758.0,7.0
2021.0,30,БС,69.0,20.0,21.0,401.0,7.0
2021.0,30,модули/блоки,269.0,19.0,38.0,804.0,7.0
2021.0,31,БС,50.0,12.0,21.0,465.0,7.0
2021.0,31,модули/блоки,151.0,11.0,21.0,680.0,7.0
2021.0,32,БС,37.0,44.0,43.0,436.0,8.0
2021.0,32,модули/блоки,243.0,40.0,33.0,1056.0,8.0
2021.0,33,БС,51.0,54.0,25.0,576.0,8.0
2021.0,33,модули/блоки,276.0,38.0,25.0,858.0,8.0
2021.0,34,БС,46.0,23.0,28.0,459.0,8.0
2021.0,34,модули/блоки,190.0,29.0,56.0,673.0,8.0
2021.0,35,БС,66.0,44.0,23.0,338.0,8.0
2021.0,35,модули/блоки,268.0,25.0,37.0,676.0,8.0
2021.0,36,БС,37.0,47.0,29.0,325.0,9.0
2021.0,36,модули/блоки,276.0,22.0,7.0,524.0,9.0
2021.0,37,БС,38.0,84.0,16.0,457.0,9.0
2021.0,37,модули/блоки,223.0,28.0,20.0,756.0,9.0
2021.0,38,БС,75.0,50.0,10.0,603.0,9.0
2021.0,38,модули/блоки,282.0,59.0,14.0,739.0,9.0
2021.0,39,БС,61.0,151.0,41.0,753.0,9.0
2021.0,39,модули/блоки,303.0,130.0,19.0,840.0,9.0
2021.0,40,БС,40.0,,1.0,103.0,10.0
2021.0,40,модули/блоки,194.0,,4.0,308.0,10.0
2021.0,41,БС,37.0,,23.0,346.0,10.0
2021.0,41,модули/блоки,159.0,,18.0,408.0,10.0
2021.0,42,БС,70.0,16.0,35.0,472.0,10.0
2021.0,42,модули/блоки,338.0,1.0,15.0,530.0,10.0
2021.0,43,БС,37.0,61.0,79.0,497.0,10.0
2021.0,43,модули/блоки,264.0,162.0,64.0,988.0,10.0
2021.0,44,БС,28.0,55.0,33.0,339.0,10.0
2021.0,44,модули/блоки,301.0,56.0,16.0,1013.0,10.0
2021.0,45,БС,36.0,59.0,13.0,367.0,11.0
2021.0,45,модули/блоки,195.0,34.0,14.0,485.0,11.0
2021.0,46,БС,33.0,61.0,12.0,499.0,11.0
2021.0,46,модули/блоки,187.0,47.0,10.0,672.0,11.0
2021.0,47,БС,40.0,57.0,43.0,569.0,11.0
2021.0,47,модули/блоки,174.0,78.0,39.0,934.0,11.0
2021.0,48,БС,20.0,51.0,26.0,481.0,11.0
2021.0,48,модули/блоки,181.0,56.0,8.0,638.0,11.0
2021.0,49,БС,29.0,72.0,28.0,569.0,12.0
2021.0,49,модули/блоки,192.0,98.0,31.0,1164.0,12.0
2021.0,50,БС,37.0,97.0,51.0,637.0,12.0
2021.0,50,модули/блоки,257.0,66.0,26.0,806.0,12.0
2021.0,51,БС,14.0,84.0,44.0,585.0,12.0
2021.0,51,модули/блоки,202.0,94.0,363.0,2170.0,12.0
2021.0,52,БС,12.0,22.0,49.0,658.0,12.0
2021.0,52,модули/блоки,124.0,32.0,59.0,1589.0,12.0
2022.0,2,БС,9.0,10.0,4.0,57.0,1.0
2022.0,2,модули/блоки,143.0,33.0,4.0,199.0,1.0
2022.0,3,БС,31.0,37.0,5.0,175.0,1.0
2022.0,3,модули/блоки,181.0,78.0,,326.0,1.0
2022.0,4,БС,27.0,26.0,9.0,139.0,1.0
2022.0,4,модули/блоки,220.0,102.0,58.0,800.0,1.0
2022.0,5,БС,20.0,24.0,14.0,170.0,1.0
2022.0,5,модули/блоки,171.0,87.0,19.0,502.0,1.0
2022.0,6,БС,26.0,44.0,24.0,422.0,2.0
2022.0,6,модули/блоки,210.0,100.0,40.0,930.0,2.0
2022.0,7,БС,33.0,56.0,10.0,327.0,2.0
2022.0,7,модули/блоки,271.0,47.0,5.0,717.0,2.0
2022.0,8,БС,24.0,27.0,16.0,186.0,2.0
2022.0,8,модули/блоки,189.0,33.0,29.0,496.0,2.0
2022.0,9,БС,63.0,41.0,36.0,384.0,2.0
2022.0,9,модули/блоки,161.0,94.0,24.0,700.0,2.0
2022.0,10,БС,8.0,27.0,14.0,279.0,3.0
2022.0,10,модули/блоки,51.0,63.0,25.0,454.0,3.0
2022.0,11,БС,7.0,1.0,14.0,139.0,3.0
2022.0,11,модули/блоки,41.0,12.0,6.0,231.0,3.0
2022.0,12,БС,6.0,7.0,,21.0,3.0
2022.0,12,модули/блоки,85.0,102.0,1.0,347.0,3.0
2022.0,13,БС,4.0,24.0,4.0,154.0,3.0
2022.0,13,модули/блоки,122.0,95.0,6.0,501.0,3.0
2022.0,14,БС,6.0,14.0,5.0,80.0,4.0
2022.0,14,модули/блоки,55.0,83.0,21.0,319.0,4.0
2022.0,15,БС,17.0,,,70.0,4.0
2022.0,15,модули/блоки,97.0,19.0,8.0,259.0,4.0
2022.0,16,БС,22.0,4.0,3.0,83.0,4.0
2022.0,16,модули/блоки,101.0,68.0,5.0,331.0,4.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,В неделю,,,,,
,БС,СР.Сзнач БС,43.81395348837209,52.19512195121951,24.325581395348838,,
,,СР.СзначМодули/блоки,170.04651162790697,78.21951219512195,50.325581395348834,,
